name,smiles
Doxycycline,OC1C2C(O)C3C(=C(O)c4c(O)cccc4C3(C)O)C(=O)C2(O)C(N(C)C)C1O
Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O
Atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
Propranolol,CC(C)NCC(O)COc1cccc2ccccc12
Carvedilol,COc1ccccc1OCCNCC(O)COc2cccc3[nH]c4ccccc4c23
Furosemide,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
Hydrochlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
Spironolactone,CC(=O)SC1CCC2(C)C3CCC4(C)C(CCC4C3CCC2C1)C(=O)CO
Tamoxifen,CCC(=C(c1ccccc1)c2ccc(OCCN(C)C)cc2)c3ccccc3
Dexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
Methylprednisolone,CC1CC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC2(C)C1(O)C(=O)CO
Levothyroxine,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
Digoxin,CC1OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(CCC34)C(O)C4=CC(=O)OC4)C2O)C(O)C(O)C1O
Liothyronine,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)cc1)C(=O)O
Carbamazepine,NC(=O)N1c2ccccc2C=Cc3ccccc31
Phenytoin,O=C1NC(=O)C(c2ccccc2)(c3ccccc3)N1
Valproic Acid,CCCC(CCC)C(=O)O
Lamotrigine,Nc1nnc(c(N)n1)c2cccc(Cl)c2Cl
Topiramate,CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1
Levetiracetam,CCC(C(=O)N)N1CCCC1=O
Pregabalin,CC(C)CC(CN)CC(=O)O
Pioglitazone,O=C1NC(=O)C(Cc2ccc(OCCc3ncc(C)cc3)cc2)S1
Glipizide,Cc1cnc(NS(=O)(=O)c2ccc(NC(=O)NCCC3CCCCC3)cc2)cn1
Sitagliptin,Fc1cc(c(F)cc1F)CC(N)CC(=O)N2CCn3c(nnc3C(F)(F)F)C2
Empagliflozin,OCC1OC(c2ccc(Cl)c(Cc3ccc(OC4CCOCC4)cc3)c2)C(O)C(O)C1O
Canagliflozin,OCC1OC(c2cc(c3ccc(F)c(c3)c4ccc(S)cc4)ccc2)C(O)C(O)C1O
Donepezil,O=C1CC2(CC=Cc3cc(OC)c(OC)cc32)C1Nc1ccccn1
Memantine,CC12CC3CC(C)(C1)CC(N)(C3)C2
Risperidone,Cc1cc(=O)n(c(n1)C)CCCC1CCN(CC1)c2noc3cc(F)ccc23
Quetiapine,OCCOCCN1CCN(CC1)c2nc3ccccc3Sc4ccccc24
Olanzapine,Cc1cc2c(s1)Nc3ccccc3N=C2N4CCN(C)CC4
Aripiprazole,O=C1CCc2ccc(OCCCCN3CCN(CC3)c4cccc(Cl)c4Cl)cc2N1
Clonazepam,O=C1CN=C(c2ccccc2Cl)c3cc([N+](=O)[O-])ccc3NC1=O
Alprazolam,Cc1nnc2n1c3ccc(Cl)cc3C(=NC2)c4ccccc4
Zolpidem,Cc1cc(C)c(c2ccccn2)c(C)c1CC1=CN(C)C(=O)c3cc(C)ccc31
Eszopiclone,O=C(OC1(CC)OC2(O1)c1cc(Cl)cnc1)N1CCC(=O)c2nccnc21
Sumatriptan,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1
Sildenafil,CCCc1nn(C)c2c1nc(nc2OCC)c3cc(ccc3OCC)S(=O)(=O)N4CCN(C)CC4
Tadalafil,O=C1N2CCc3c([nH]c4cc5c(cc34)OCO5)C2CC(=O)N1C
Finasteride,CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC21C
Tamsulosin,CCOc1ccc(cc1OC)CCNC(C)CC2ccc(OC)c(S(N)(=O)=O)c2
Metronidazole,Cc1ncc([N+](=O)[O-])n1CCO
Acyclovir,Nc1nc2n(COCCO)cnc2c(=O)[nH]1
Amantadine,NC12CC3CC(CC(C3)C1)C2
Oseltamivir,CCOC(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1
Levofloxacin,CC1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O
Moxifloxacin,OC(=O)c1cn(C2CC2)c3cc(c(F)cc3c1=O)N4CC5CCCNC5C4
Clarithromycin,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC3OC(C)CC(N(C)C)C3O)C(C)(OC)CC(C)C1N(C)C
Erythromycin,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC3OC(C)CC(N(C)C)C3O)C(C)(O)CC(C)C1N(C)C
Gentamicin,OCC1OC(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)C(N)CC1O
Vancomycin,OCC1OC(Oc2ccc(cc2Cl)C(O)C3NC(=O)C(CC(N)=O)NC(=O)C4Oc5cc6cc(Oc7cc(c(O)c(c7)C(NC(=O)C(NC3=O)c3cc(O)c(O)c(c3)c3cc8)C(=O)O)c(Cl)c6)c5O)C(O)C(O)C1O
Linezolid,O=C1ON(c2cc(N3CCOCC3)c(F)cc2)C(=O)C1NCC(=O)C
Rifampin,CC1C=CC=C(C(=O)Nc2ccc3c(c2O)C(=O)c2c(O)c(C)c(OC)c(c2O3)OC(=O)C(C)=CC=CC(C)OC(C)C(C)OC(C)C1O)C
Isoniazid,NNC(=O)c1ccncc1
Ethambutol,CCC(CO)NCCNC(CC)CO
Pyrazinamide,NC(=O)c1cnccn1
Cyclophosphamide,O=P1(N(CCCl)CCCl)NCCCO1
Vincristine,CCC1(O)CC2CN(CCC3(c4cccc5[nH]c6c(c45)C(OC)(C(OC(=O)C)C4(CC)C36CCN2C1)C(=O)OC)C7OC(CO)C(OC(C)=O)C(O)C7O)CCO
Paclitaxel,CC1=C2C(C(=O)C3(C(CC4C5(C6(C(C(OC(=O)C(C(c7ccccc7)NC(=O)c8ccccc8)O)C(=O)C1(C2O)OC(C)=O)OC(=O)C)OC6O)C(=O)C5(C)C(O)CC34)C)OC(=O)C)O
Imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc4nccc(n4)c5cccnc5
Erlotinib,COCCOc1cc2ncnc(Nc3cccc(C#C)c3)c2cc1OCCOC
Trastuzumab,NC(=O)CC(N)C(=O)O
Bevacizumab,NC(=O)CC(N)CC(=O)O
Capecitabine,CCCCOC(=O)NC1=NC(=O)N(C1=O)C2OC(C)C(O)C2O
Gemcitabine,NC1=NC(=O)N(C1=O)C2OC(CO)C(O)(F)C2F
